#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
boostwithmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
boostwithmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
careersatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
curatedbymeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
curatedbymeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
dataforgoodatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
dataforgoodatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
dataforgoodfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
dataforgoodfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
diversityatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
diversityatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
expresswififrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
expresswififrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
facebookfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
horizonfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
horizonfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
instagramfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
instagramfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
jobsatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
jobsatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
layoutfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
layoutfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
messengerfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
messengerfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaboomerang.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaboostleadersnetwork.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaboostleadersnetwork.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaboostyourbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaboostyourbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metabulletin.us,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaexpresswifi.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaf8.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaf8.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaf8conference.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaf8conference.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebook.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebook.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebook.us,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookcrisisresponse.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookcrisisresponse.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookdating.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookdating.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookdisasterresponse.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookdisasterresponse.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookentertainment.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookentertainment.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookfundraisers.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookfundraisers.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookgroups.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookgroups.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookinfluencers.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookinfluencers.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookinstantarticles.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
